Początek lata na Zanzibarze: tydzień w 4* hotelu z wyżywieniem od 5560 PLN. Wyloty z 2 miast,https://www.fly4free.pl/wczasy-na-zanzibarze-od-5560-pln/
Tydzień w Meksyku za 3867 PLN. Loty do Cancun z Poznania + hotel,https://www.fly4free.pl/tydzien-w-meksyku-za-3867-pln/
Majówka w Wietnamie za 3804 PLN. Loty z dużym bagażem z Katowic + 5* hotel przy zatoce Ha Long,https://www.fly4free.pl/majowka-w-wietnamie-za-3804pln/
Urlop Zanzibarze: tydzień w 4* hotelu z all inclusive od 5929 PLN. Wyloty z 2 miast,https://www.fly4free.pl/tydzien-na-zanzibarze-za-2929pln/
Urlop Zanzibarze: tydzień w 4* hotelu z all inclusive od 5929 PLN. Wyloty z 2 miast,https://www.fly4free.pl/tydzien-na-zanzibarze-za-5929pln/
Dla cyfrowych nomadów: 2 miesiące w Tajlandii za 6959 PLN. Loty z dużym bagażem z Katowic + noclegi w 4* hotelu,https://www.fly4free.pl/2-miesiace-w-tajlandii-za-6959-pln/
Objazdowa wycieczka po Meksyku z wyżywieniem za 6999 PLN. Wylot z Gdańska,https://www.fly4free.pl/objazdowa-wycieczka-po-meksyku-za-6999-pln/
Urlop w Dominikanie za 4872 PLN. Bezpośrednie loty z bagażem z Poznania i 7 nocy w hotelu,https://www.fly4free.pl/urlop-w-dominikanie-za-4872-pln/
Meksyk: 5* hotel z all inclusive przy plaży za 4880 zł! Opcja samych lotów za 1999 zł,"https://lastminuter.pl/okazje/99574,meksyk-5gwiazdki-hotel-z-all-inclusive-przy-plazy-za-4880-zl-opcja-samych-lotow-za-1999-zl"
"Wypoczynek na Karaibach: Kuba, 5* hotel z all inclusive od 5237 zł","https://lastminuter.pl/okazje/99700,wypoczynek-na-karaibach-kuba-5gwiazdki-hotel-z-all-inclusive-od-5237-zl"
"Jordania, ZEA, Oman i Gruzja w jednej podróży z Warszawy za 865 zł. Loty","https://lastminuter.pl/okazje/99674,jordania-zea-oman-i-gruzja-w-jednej-podrozy-z-warszawy-za-865-zl-loty"
"Wypoczynek na Karaibach: Kuba, 5* hotel z all inclusive od 5237 PLN","https://lastminuter.pl/okazje/99700,wypoczynek-na-karaibach-kuba-5gwiazdki-hotel-z-all-inclusive-od-5237-zl"
13 nocy 🌙 w Tajlandii w czerwcu 🥰 ze śniadaniami! ☕️ Blisko plaży ☀️,https://www.wakacyjnipiraci.pl/pakiety/13-nocy-w-tajlandii-w-czerwcu-ze-sniadaniami-blisko-plazy
